sinh_0001|keṇḍaya dakvā vasālana vahan no dæriya yutu ya.|-පෙ- කෙණ්ඩය දක්වා වසාලන වහන් නො දැරිය යුතු ය.|mettananda
sinh_0002|keṇḍaya dakvā vasālana vahan no dæriya yutu ya.|-පෙ- කෙණ්ඩය දක්වා වසාලන වහන් නො දැරිය යුතු ය.|mettananda
sinh_0003|theyyasaṁvāsakayā upāddhyāya koṭa geṇa upasapan kereti.|-පෙ- ථෙය්‍යසංවාසකයා උපාද්ධ්‍යාය කොට ගෙණ උපසපන් කෙරෙති.|mettananda
sinh_0004|mahaṇa, anullapanādhiprāya ætiyahuṭa ævæt no vē.|-පෙ- මහණ, අනුල්ලපනාධිප්‍රාය ඇතියහුට ඇවැත් නො වේ.|mettananda
sinh_0005|eyin kiyanu læbeyi 'evametassa kēvalassa dukkhakkhandhassa samudayō hoti' yi.|එයින් කියනු ලැබෙයි ‘එවමෙතස්ස කේවලස්ස දුක්ඛක්ඛන්‍ධස්ස සමුදයෝ හොති’ යි.|mettananda
sinh_0006|'lōkaya antavat ya'yi. bhagavathu mul koṭa ætiyaha. lōkaya antavatya yi. (mebaṉdu dṛşṭiyak upadī.)|“ලෝකය අන්තවත් ය”යි. භගවත්හු මුල් කොට ඇතියහ. ලෝකය අන්තවත්ය යි. (මෙබඳු දෘෂ්ටියක් උපදී.)|mettananda
sinh_0007|eyin kiyanu læbeyi 'evametassa kēvalassa dukkhakkhandhassa samudayō hoti' yi.|එයින් කියනු ලැබෙයි ‘එවමෙතස්ස කේවලස්ස දුක්ඛක්ඛන්‍ධස්ස සමුදයෝ හොති’ යි.|mettananda
sinh_0008|sāvatthiyehi, maḍavatura isīma, avandiya bava, chabbaggiya bhikşūṇīn ūru, aṅgajāta dækvīma, ohāsanaya, ekaṭa gæṭīsiṭīma,|සාවත්ථියෙහි, මඩවතුර ඉසීම, අවන්‍දිය බව, ඡබ්බග්ගිය භික්‍ෂූණීන් ඌරු, අඞ්ගජාත දැක්වීම, ඔහාසනය, එකට ගැටීසිටීම,|mettananda
sinh_0009|'adhikaraṇaya saha pārlimēntuva svādhīnava kaṭayutu karanavā.' 'novæmbar māsayē dī janādhipativaraṇaya pavatvanna puḷuvan'|'අධිකරණය සහ පාර්ලිමේන්තුව ස්වාධීනව කටයුතු කරනවා.' 'නොවැම්බර් මාසයේ දී ජනාධිපතිවරණය පවත්වන්න පුළුවන්'|mettananda
sinh_0010|'anē maṭa gahannē nættam eḷiyaṭa ennam' yanuven divi ræka gannaṭa gammun idiriyē æya bægǣpat viya.|'අනේ මට ගහන්නේ නැත්තම් එළියට එන්නම්' යනුවෙන් දිවි රැක ගන්නට ගම්මුන් ඉදිරියේ ඇය බැගෑපත් විය.|mettananda
sinh_0011|'anyayanṭa kisivaku visin gauravayak sælakillak dakvannē næta. mā haṭa vanāhi duṭu duṭu sæma dena ma garu karati'|'අන්යයන්ට කිසිවකු විසින් ගෞරවයක් සැලකිල්ලක් දක්වන්නේ නැත. මා හට වනාහි දුටු දුටු සැම දෙන ම ගරු කරති'|mettananda
sinh_0012|'apagē goduru gamehi siyalu satvayō vaira nættō vetvā! napuru sit nættō vetvā!' yanādīn ihata kī paridi goduru gamaṭa met vaḍanu.|'අපගේ ගොදුරු ගමෙහි සියලු සත්වයෝ වෛර නැත්තෝ වෙත්වා! නපුරු සිත් නැත්තෝ වෙත්වා!' යනාදීන් ඉහත කී පරිදි ගොදුරු ගමට මෙත් වඩනු.|mettananda
sinh_0013|'apaṭa hō oba vahansēṭa hō pin æti nam heṭa ebaṉdu āhārayak læbannē' yi mugalan svāmi kīyē ya.|'අපට හෝ ඔබ වහන්සේට හෝ පින් ඇති නම් හෙට එබඳු ආහාරයක් ලැබන්නේ' යි මුගලන් ස්වාමි කීයේ ය.|mettananda
sinh_0014|'aluten patvelā āpu upuldeṇiya bandhanāgāra komasārisvarayāṭa niladhārīn udavu kaḷa yutuyi.|'අලුතෙන් පත්වෙලා ආපු උපුල්දෙණිය බන්ධනාගාර කොමසාරිස්වරයාට නිලධාරීන් උදවු කළ යුතුයි.|mettananda
sinh_0015|'avidyā - tṛşṇā - karma - sparśa nirōdhayen vēdanā nirōdhaya vēya' yi mesē pratyaya nirodhayen vēdanāskandhayā gē vyaya dakī.|'අවිද්යා - තෘෂ්ණා - කර්ම - ස්පර්ශ නිරෝධයෙන් වේදනා නිරෝධය වේය' යි මෙසේ ප්‍රත්යය නිරොධයෙන් වේදනාස්කන්ධයා ගේ ව්‍යය දකී.|mettananda
sinh_0016|'avidyā - tṛşṇā - karma - sparśa samudayayen saṁgnā samudaya vannēya'yi da saṁgnāva gē nibbatti lakşaṇaya da balannē yi.|'අවිද්යා - තෘෂ්ණා - කර්ම - ස්පර්ශ සමුදයයෙන් සංඥා සමුදය වන්නේය'යි ද සංඥාව ගේ නිබ්බත්ති ලක්ෂණය ද බලන්නේ යි.|mettananda
